Date,Open,High,Low,Close,Adj Close,Volume
2015-08-12,73.750000,74.839996,73.209999,74.000000,60.286575,4151702
2015-08-13,74.160004,75.220001,73.199997,75.199997,61.264191,4775070
2015-08-14,74.660004,76.800003,74.220001,76.180000,62.062595,4107660
2015-08-17,75.000000,76.739998,74.660004,76.000000,61.915943,3103540
2015-08-18,75.510002,76.360001,74.129997,75.199997,61.264191,2691750
2015-08-19,75.110001,76.199997,74.180000,74.300003,60.530994,3457520
2015-08-20,74.190002,75.500000,74.160004,74.519997,60.710217,3095359
2015-08-21,74.510002,74.970001,71.800003,71.800003,58.494282,4117190
2015-08-24,70.000000,71.370003,66.550003,69.500000,56.620502,8789290
2015-08-25,69.519997,71.779999,69.500000,71.400002,58.168400,6647680
2015-08-26,71.199997,71.660004,70.150002,71.099998,57.924000,3720330
2015-08-27,71.599998,74.550003,71.120003,73.419998,59.814056,7768370
2015-08-28,74.300003,74.570000,72.300003,74.000000,60.286575,6328490
2015-08-31,73.709999,74.320000,73.050003,74.309998,60.539127,4311250
2015-09-01,74.190002,76.599998,73.870003,76.599998,62.404755,10677200
2015-09-02,76.050003,76.800003,74.669998,74.910004,61.027946,5656620
2015-09-03,75.389999,76.430000,75.300003,75.430000,61.451576,5015402
2015-09-04,75.349998,76.400002,74.820000,76.099998,61.997417,3493730
2015-09-07,76.230003,76.230003,73.080002,73.989998,60.278431,5077700
2015-09-08,74.010002,75.180000,73.800003,75.000000,61.101257,4540430
2015-09-09,75.379997,76.769997,74.879997,74.879997,61.003498,5191692
2015-09-10,74.900002,78.000000,74.620003,77.610001,63.227581,7760580
2015-09-11,77.800003,80.889999,77.790001,80.589996,65.655342,12483790
2015-09-14,80.570000,84.480003,80.010002,81.970001,66.779602,12431480
2015-09-15,82.580002,82.589996,78.919998,79.989998,65.166527,6551330
2015-09-16,80.320000,80.680000,79.089996,79.309998,64.612541,3772200
2015-09-17,79.309998,83.970001,79.120003,81.879997,66.706276,7784730
2015-09-18,82.470001,82.870003,80.000000,80.000000,65.174675,5270681
2015-09-21,80.690002,81.699997,80.029999,80.889999,65.899750,2860930
2015-09-22,80.650002,81.540001,79.830002,79.989998,65.166527,4043020
2015-09-23,80.300003,80.900002,79.000000,79.000000,64.360001,4539810
2015-09-24,79.589996,81.379997,78.709999,79.400002,64.685875,5448120
2015-09-25,79.949997,80.989998,78.230003,80.480003,65.565735,7728670
2015-09-28,80.510002,81.160004,77.199997,77.500000,63.137970,3456540
2015-09-29,77.500000,79.500000,77.010002,79.500000,64.767342,4436845
2015-09-30,79.660004,80.839996,79.000000,80.000000,65.174675,7234100
2015-10-01,80.470001,80.830002,78.120003,79.150002,64.482201,2635490
2015-10-02,79.019997,79.419998,76.150002,77.599998,63.219440,5421140
2015-10-05,78.000000,80.570000,77.769997,78.790001,64.188919,4909160
2015-10-06,78.919998,82.080002,78.230003,81.500000,66.396698,5875190
2015-10-07,82.489998,83.900002,79.620003,83.680000,68.172714,7258850
2015-10-08,83.320000,84.230003,82.849998,83.050003,67.659470,3128463
2015-10-09,83.500000,86.449997,82.500000,85.400002,69.573967,10381750
2015-10-12,85.400002,88.199997,85.209999,88.199997,71.855080,6704254
2015-10-13,87.980003,88.709999,85.980003,86.949997,70.836723,6496880
2015-10-14,86.500000,88.160004,84.040001,85.699997,69.818367,10920850
2015-10-15,85.010002,86.620003,83.500000,83.540001,68.058655,6903650
2015-10-16,83.980003,85.980003,83.699997,85.900002,69.981316,8179060
2015-10-19,85.720001,86.620003,84.550003,86.300003,70.307190,4029191
2015-10-20,86.300003,86.400002,84.129997,86.250000,70.266449,4448170
2015-10-21,86.000000,86.000000,84.699997,85.989998,70.054634,2018690
2015-10-22,85.949997,89.500000,85.339996,88.290001,71.928413,6357340
2015-10-23,88.489998,92.800003,87.650002,92.000000,74.950874,12943130
2015-10-26,92.000000,95.680000,90.300003,95.099998,77.476395,10123410
2015-10-27,94.250000,95.449997,89.839996,92.050003,74.991615,10679620
2015-10-28,91.970001,92.400002,90.199997,91.699997,74.706474,4243450
2015-10-29,91.699997,91.870003,90.500000,91.309998,74.388748,2570280
2015-10-30,91.290001,92.120003,89.839996,89.839996,73.191162,3011040
2015-11-02,90.000000,92.300003,90.000000,91.989998,74.942734,4346280
2015-11-03,91.970001,93.570000,91.199997,91.500000,74.543541,7649470
2015-11-05,92.480003,93.440002,90.029999,91.300003,74.380608,6261410
2015-11-06,90.949997,92.169998,90.300003,90.809998,73.981400,4655690
2015-11-09,90.120003,91.500000,89.089996,90.190002,73.476303,4845202
2015-11-10,89.879997,91.500000,89.230003,90.500000,73.728859,7298130
2015-11-11,90.019997,92.400002,89.419998,91.000000,74.136192,6778140
2015-11-12,91.000000,91.599998,86.839996,87.279999,71.105568,10768290
2015-11-13,87.019997,88.500000,85.760002,87.239998,71.072990,7639990
2015-11-16,86.980003,91.180000,86.779999,91.000000,74.136192,9613440
2015-11-17,91.089996,95.779999,91.089996,94.400002,76.906120,15236970
2015-11-18,93.900002,95.209999,93.139999,93.500000,76.172905,4929588
2015-11-19,93.940002,95.680000,92.180000,93.089996,75.838882,7069680
2015-11-20,93.050003,93.050003,91.099998,92.889999,75.675949,8195040
2015-11-23,93.000000,94.500000,92.139999,94.010002,76.588394,4082770
2015-11-24,94.150002,94.470001,91.099998,93.940002,76.531364,6836450
2015-11-25,93.870003,95.300003,93.309998,94.050003,76.620987,3582430
2015-11-26,94.389999,95.400002,94.000000,94.800003,77.232002,2426300
2015-11-27,94.599998,102.230003,92.459999,97.000000,79.024307,9102780
2015-11-30,96.800003,98.669998,93.699997,94.500000,76.987587,9493880
2015-12-01,94.510002,97.150002,93.800003,96.000000,78.209618,7696330
2015-12-02,95.410004,95.800003,94.389999,94.690002,77.142380,5199210
2015-12-03,94.349998,94.989998,93.639999,94.019997,76.596535,2151680
2015-12-04,94.349998,94.580002,92.000000,93.800003,76.417313,4996260
2015-12-07,93.510002,94.449997,92.760002,93.589996,76.246231,3425636
2015-12-08,93.239998,93.709999,89.250000,90.250000,73.525185,5765290
2015-12-09,90.750000,92.120003,87.669998,88.300003,71.936562,6260400
2015-12-10,88.400002,90.040001,88.250000,89.269997,72.726791,7062230
2015-12-11,89.370003,90.699997,86.949997,90.699997,73.891792,7227960
2015-12-14,90.220001,90.800003,88.720001,88.800003,72.343887,4429180
2015-12-15,89.300003,95.279999,89.169998,94.900002,77.313461,9290640
2015-12-16,94.900002,96.830002,92.300003,92.300003,75.195282,8444460
2015-12-17,92.760002,95.500000,92.559998,94.209999,76.751328,5938130
2015-12-18,94.000000,94.830002,92.000000,94.820000,77.248283,3825540
2015-12-21,94.500000,96.470001,93.900002,96.000000,78.209618,4445450
2015-12-22,96.220001,96.690002,94.410004,95.750000,78.005943,7659670
2015-12-23,95.980003,96.720001,95.019997,96.500000,78.616959,3829810
2015-12-24,96.599998,96.879997,95.050003,95.570000,77.859291,2536271
2015-12-25,95.559998,96.089996,94.500000,94.720001,77.166824,2382070
2015-12-28,94.790001,95.129997,93.550003,93.550003,76.213646,2036140
2015-12-29,93.690002,94.930000,92.550003,93.620003,76.270668,2496940
2015-12-30,93.650002,94.260002,91.400002,91.400002,74.462074,3871470
2016-01-04,91.320000,91.849998,90.120003,91.849998,74.828682,3233930
2016-01-05,91.830002,94.470001,91.809998,94.300003,76.824654,4923280
2016-01-06,94.339996,94.870003,93.879997,94.440002,76.938705,2463000
2016-01-11,92.250000,95.839996,91.000000,94.500000,76.987587,6253837
2016-01-12,94.400002,97.000000,93.129997,93.750000,76.376572,4788150
2016-01-13,93.889999,94.699997,91.500000,91.599998,74.625008,6294470
2016-01-14,91.870003,92.820000,90.260002,91.650002,74.665749,9268930
2016-01-15,91.650002,91.970001,86.589996,86.589996,70.543442,11268680
2016-01-18,85.900002,90.730003,85.199997,90.150002,73.443718,10141720
2016-01-19,92.110001,92.300003,88.750000,90.449997,73.688118,6618880
2016-01-20,89.580002,92.070000,88.000000,90.209999,73.492592,10939690
2016-01-21,90.669998,91.860001,89.050003,90.000000,73.321518,11980640
2016-01-22,91.120003,91.449997,88.500000,90.279999,73.549622,11764480
2016-01-25,90.769997,90.849998,89.510002,90.000000,73.321518,4015330
2016-01-26,89.900002,90.500000,89.320000,90.000000,73.321518,5473650
2016-01-27,90.269997,93.900002,89.629997,93.650002,76.295113,7702190
2016-01-28,93.400002,95.150002,91.269997,92.699997,75.521156,8984870
2016-01-29,93.000000,96.000000,92.529999,95.989998,78.201469,10698539
2016-02-01,95.250000,96.669998,94.120003,96.500000,78.616959,6225230
2016-02-02,96.150002,96.680000,94.930000,96.199997,78.372551,5459940
2016-02-03,95.800003,100.699997,95.209999,99.599998,81.142471,7427850
2016-02-04,95.000000,95.989998,92.199997,92.300003,75.195282,49644200
2016-02-05,93.190002,95.000000,92.519997,93.029999,75.790001,13103820
2016-02-08,93.389999,94.000000,90.599998,91.139999,74.250252,8197080
2016-02-09,91.250000,91.949997,90.120003,91.089996,74.209511,7257550
2016-02-10,90.800003,91.500000,90.080002,90.949997,74.095459,7570840
2016-02-11,91.000000,91.160004,87.790001,89.000000,72.506828,11399700
2016-02-12,89.809998,90.290001,88.199997,89.580002,72.979347,13073130
2016-02-15,90.300003,90.760002,88.750000,90.400002,73.647385,10593720
2016-02-16,90.750000,91.769997,90.440002,91.000000,74.136192,8382390
2016-02-17,91.050003,91.599998,90.089996,91.000000,74.136192,6054100
2016-02-18,91.300003,92.889999,91.250000,92.470001,75.333778,8048923
2016-02-19,92.110001,92.110001,89.010002,89.949997,73.280777,6003420
2016-02-22,90.599998,92.320000,90.570000,92.089996,75.024193,5295220
2016-02-24,91.400002,93.300003,91.029999,93.199997,75.928505,10649920
2016-02-25,93.260002,95.099998,93.250000,95.089996,77.468254,10638208
2016-02-26,95.160004,97.430000,94.900002,96.809998,78.869514,18613220
2016-02-29,96.080002,99.000000,95.709999,99.000000,80.653664,8978330
2016-03-01,99.000000,99.320000,97.169998,97.800003,79.676048,7203400
2016-03-02,98.250000,98.699997,97.599998,97.599998,79.513107,5425810
2016-03-03,98.500000,99.250000,96.650002,97.699997,79.594566,8820280
2016-03-04,98.599998,99.430000,97.300003,99.000000,80.653664,12210110
2016-03-07,99.410004,100.900002,98.300003,100.500000,81.875694,10635409
2016-03-09,100.000000,100.779999,98.949997,99.900002,81.386879,5938130
2016-03-10,99.760002,102.500000,99.760002,101.919998,83.032539,8893410
2016-03-11,102.379997,103.849998,101.160004,101.400002,82.608902,7683610
2016-03-14,101.019997,104.480003,100.599998,103.849998,84.604881,11642410
2016-03-15,103.949997,105.300003,102.699997,103.699997,84.482681,18696290
2016-03-16,102.849998,106.059998,102.849998,105.699997,86.112053,14866800
2016-03-17,106.110001,108.099998,105.209999,105.779999,86.177223,12597170
2016-03-18,106.029999,108.769997,105.199997,105.199997,85.704704,27159450
2016-03-21,105.879997,106.300003,104.250000,104.250000,84.930748,11262380
2016-03-22,104.440002,105.940002,102.660004,103.489998,84.311600,9396770
2016-03-23,103.000000,104.910004,102.769997,104.489998,85.126274,9353390
2016-03-24,104.199997,105.300003,103.769997,104.599998,85.215889,7442970
2016-03-25,105.099998,105.739998,104.199997,104.879997,85.443993,2486890
2016-03-28,104.879997,105.980003,102.650002,103.180000,84.059044,5015910
2016-03-29,103.000000,103.199997,99.199997,100.910004,82.209717,11986160
2016-03-30,101.349998,102.260002,99.900002,101.809998,82.942917,11994290
2016-03-31,101.809998,105.050003,101.019997,105.050003,85.582504,13657280
2016-04-01,104.699997,105.050003,103.110001,105.050003,85.582504,9261870
2016-04-04,105.000000,105.489998,103.349998,103.519997,84.336029,5315910
2016-04-05,103.059998,103.089996,101.339996,102.400002,83.423592,5765340
2016-04-06,103.000000,103.370003,102.050003,102.669998,83.643547,5904360
2016-04-07,103.190002,103.360001,101.500000,103.000000,83.912392,5048020
2016-04-08,103.199997,104.989998,102.500000,104.199997,84.890022,5996835
2016-04-11,104.480003,105.379997,103.959999,104.550003,85.175156,5345490
2016-04-12,104.209999,105.489998,103.550003,104.900002,85.460304,6140260
2016-04-13,104.900002,106.000000,104.410004,104.900002,85.460304,8661170
2016-04-14,104.309998,104.750000,102.160004,103.470001,84.295296,7795180
2016-04-15,102.589996,103.480003,101.650002,102.050003,83.138451,4082110
2016-04-18,100.870003,104.239998,100.580002,104.000000,84.727081,7968250
2016-04-19,104.199997,107.050003,103.730003,107.050003,87.211876,9860450
2016-04-20,106.699997,112.540001,106.510002,108.839996,88.670151,12724120
2016-04-21,109.750000,111.699997,107.209999,108.699997,88.556091,6632000
2016-04-22,109.000000,109.949997,107.919998,109.949997,89.574448,12188950
2016-04-25,109.949997,110.720001,107.610001,109.250000,89.004181,4937770
2016-04-26,108.500000,109.000000,103.989998,103.989998,84.718933,11687300
2016-04-27,104.000000,105.300003,102.660004,103.360001,84.205688,6540040
2016-04-28,103.599998,104.739998,101.129997,104.709999,85.305511,11305410
2016-04-29,104.489998,105.300003,101.550003,102.150002,83.219925,8985480
2016-05-04,101.699997,105.150002,101.500000,105.150002,85.663971,7098680
2016-05-05,105.629997,107.339996,103.580002,106.230003,86.543823,6770340
2016-05-06,106.220001,106.239998,103.669998,103.930000,84.670059,5413800
2016-05-10,104.000000,104.660004,101.680000,102.800003,83.749458,9611540
2016-05-11,102.800003,106.309998,102.699997,106.040001,86.389038,8578602
2016-05-12,106.269997,107.900002,105.669998,107.000000,87.171135,11683950
2016-05-13,101.699997,104.320000,101.599998,104.320000,91.037064,12284200
2016-05-16,104.769997,105.129997,103.250000,104.360001,91.071976,4367800
2016-05-17,103.750000,104.349998,102.099998,103.709999,90.504738,5144840
2016-05-18,103.849998,105.779999,103.000000,105.220001,91.822464,6488390
2016-05-19,104.800003,105.230003,103.410004,105.199997,91.805016,4487580
2016-05-20,105.000000,105.529999,104.000000,104.000000,90.757805,3584664
2016-05-23,104.389999,104.389999,102.550003,104.000000,90.757805,5288050
2016-05-24,104.000000,105.199997,103.650002,105.099998,91.717743,8813760
2016-05-25,105.500000,106.629997,104.830002,106.169998,92.651505,9002580
2016-05-26,106.150002,106.959999,105.110001,106.470001,92.913307,4057130
2016-05-27,106.470001,106.970001,104.519997,106.940002,93.323463,5962960
2016-05-30,106.400002,107.089996,105.820000,106.750000,93.157654,2362210
2016-05-31,106.820000,111.180000,105.599998,109.400002,95.470238,16830050
